3-O Ethyl Ascorbic Acid,Best,"Anti-Aging, Evens Skin Tone, Dark Spot Fading","Anti-Aging, Evens Skin Tone, Dark Spot Fading, Antioxidant",A more stable derivative of pure vitamin C | Capable of helping fade dark spots | Has water- and oil-soluble properties | Offers anti-aging benefits on par with vitamin C,"3-O ethyl ascorbic acid is a stable, water- and oil-soluble derivative of pure vitamin C (ascorbic acid) that offers all of the primary benefits vitamin C is known for, such as brightening, wrinkle reduction, visible firming, fading hyperpigmentation to restore a more even skin tone and offsetting numerous triggers of environmental damage. As a modified and more stable version of pure vitamin C, 3-O ethyl ascorbic acid must be converted to vitamin C within skin by sodium-dependent proteins. This process within skin’s surface layers helps ensure skin benefits. Due to the conversion to pure vitamin C being a slower process, 3-O ethyl ascorbic acid is considered a more tolerable form of vitamin C. However, like pure vitamin C, the ethyl form requires an acidic pH range (4–5.5) for optimum stability. This pH range is higher than what ascorbic acid needs for ideal stability, making 3-O ethyl ascorbic acid an intriguing alternative if your skin hasn’t been able to tolerate higher-strength (10% and up) vitamin C (ascorbic acid) products. Research has shown which non-irritating ingredients aid the penetration of this ingredient into skin’s surface, and they include pentylene glycol, glycerin, 1,2 hexanediol, diisostearyl malate and various propylene glycol derivatives, although this list is not exhaustive. Usage levels of 3-O ethyl ascorbic acid in skin care typically fall between 0.5–5%. Due to its stability, lesser amounts are needed compared with pure vitamin C. Levels above 5% may also be used, depending on desired benefits. Amounts up to 30% have been shown to be non-irritating on human skin samples."
Acai,Best,"Anti-Aging, Soothing","Anti-Aging, Soothing, Antioxidant, Plant Extracts",Potent source of skin-beneficial antioxidants | Contains ferulic acid and epicatechin | Helps protect skin from environmental aggressors,"Acai (pronounced “ah-sigh-ee”) is a small berry with a deep purple color. It is a potent source of antioxidants, including ferulic acid and epicatechin. According to in vitro research, acai has higher antioxidant content than cranberry, raspberry, blackberry, strawberry, or blueberry, but that doesn’t necessarily mean it is the best antioxidant - just one of many to choose from when it comes to your skin care products. Consumed orally via supplement, juice, or as a whole food, acai has been shown to exert potent antioxidant benefits and reduce the cascade of damage caused by the overproduction of free radicals."
Acerola Fruit Extract,Best,Anti-Aging,"Anti-Aging, Antioxidant, Plant Extracts","A fruit extract also known as Malpighia emarginata | Potent source of antioxidants that helps protect skin from external agents | Contains skin hydrating polysaccharides | Sometimes referred to as a ""superfruit""","Acerola fruit extract (also known as _Malpighia emarginata_) is a potent source of antioxidants and hydrating polysaccharides, some of which have been shown to protect fibroblasts in skin from suffering oxidative damage, which in turn leads to younger-looking skin. The fruit is rich in vitamin C, beta-carotene, several polyphenols (all working as antioxidants), and the B vitamin folate. The yellow- to red-toned ripe acerola fruit can also prevent lipids such as our skin’s oil from free radical damage. It’s truly a multi-faceted antioxidant plant extract that can benefit all skin types and is also a proven “superfood” ingredient that has been shown to benefit skin when consumed orally, largely due to its ability to reduce inflammation. Acerola is sometimes referred to as Barbados cherry or the acerola cherry."
Acetyl Carnitine HCL,Best,Hydration,"Hydration, Antioxidant",,
Acetyl Dipeptide-1 Cetyl Ester,Best,Anti-Aging,"Anti-Aging, Peptides",Lab-made anti-aging peptide that promotes firmer skin | Bio-identical to a skin-natural peptide that aids elasticity | Used as part of a blend with butylene glycol and hydroxyethylcellulose | Soothing effect offsets stinging and burning sensations on skin,"Acetyl dipeptide-1 cetyl ester is a lab-engineered synthetic peptide that combines acetic acid and cetyl alcohol with dipeptide-1, a peptide composed of amino acids arginine and tyrosine. Dipeptide-1 is found naturally in the body and plays a role in maintaining skin’s elasticity. Research has shown that topical application of this peptide protects collagen-making cells known as fibroblasts from the visible impact of glycation, a process in which destructive sugar molecules progressively weaken skin’s supportive elements. This ingredient has also been shown to thwart irritation on skin’s surface that would otherwise result in stinging or burning sensations. As such, it’s a very good option to pair with bio-active ingredients that can be more sensitizing for some people. Recommended usage levels of this peptide range from 3–4%; however, since the peptide portion itself is part of a blend, the actual amount of peptide needed to gain benefit is much lower, in the parts per million level. It is considered safe as used in cosmetics."
Acetyl Glucosamine,Best,"Hydration, Soothing, Evens Skin Tone","Hydration, Soothing, Evens Skin Tone, Antioxidant, Humectant",Multi-purpose antioxidant | Plays a role in improving discolorations | Offers skin-calming properties | Helps skin make its own hyaluronic acid,"Acetyl glucosamine is a multi-purpose antioxidant that has been shown to be effective in reducing visible discolorations (specifically in 2-5% concentration). It works particularly well for evening skin tone when paired with the B vitamin niacinamide. It can also help reinforce skin’s supportive elements and is known to be soothing. One of the uniquely beneficial aspects of acetyl glucosamine is that it is a precursor of hyaluronic acid (meaning it helps skin produce its own hyaluronic acid content naturally). Hyaluronic acid is a fundamental component responsible for helping skin maintain hydration and elasticity. Technically speaking, acetyl glucosamine is an amino-monosaccharide (simple sugar). Although pure acetyl glucosamine is considered more sensitive to stability issues, research shows a synthetic or bio-fermented derivative known as n-acetyl glucosamine has been proven to be more stable and highly effective. This is the type you’ll find in the Paula’s Choice Skincare 10% and 20% niacinamide treatments and RESIST eye cream. This form is also vegan (whereas pure acetyl glucosamine is typically derived from shellfish). FYI: Following the correct INCI (International Nomenclature Cosmetic Ingredient) naming conventions n-acetyl glucosamine simply goes by acetyl glucosamine on ingredient lists, but you can always consult the brand to find out which form they are using. The July 2022 safety assessment of acetyl glucosamine conducted by the Cosmetic Ingredient Review Expert Panel concluded this ingredient is safe for cosmetic use. Their report showed acetyl glucosamine can be used in leave-on products in up to 8% concentration without issue when formulated to be non-irritating."
Acetyl Hexapeptide-1,Best,"Anti-Aging, Hydration","Anti-Aging, Hydration, Peptides, Humectant",A synthetic peptide | Composed of the amino acids | Helps skin better defend itself from environmental aggressors | Can also help promote a visibly more even skin tone,"Acetyl hexapeptide-1 is a synthetic peptide composed of the amino acids alanine, arginine, histidine, leucine, phenylalanine and tryptophan. It helps skin better defend itself from environmental aggressors by virtue of a calming effect. This peptide can also help promote a visibly more even skin tone by playing a role in how melanin moves through skin."
Acetyl Hexapeptide-37,Best,"Anti-Aging, Hydration","Anti-Aging, Hydration, Peptides, Humectant","Synthetic peptide | Composed of amino acids (alanine, proline, serine, and glycine) | Works with water channels in skin’s surface layers | Helps provide balanced hydration between skin’s layers","Acetyl hexapeptide-37 is a synthetic peptide composed of the amino acids alanine, proline, serine and glycine. This peptide works with the water channels (known as aquaporins) in skin’s surface layers, helping to provide adequate, balanced hydration between skin’s layers, a process which alleviates signs of dry, dehydrated skin. Although there isn’t independent research confirming the effectiveness of this peptide on skin, the supplier (Lipotec) has made the results of their research available in a lengthy technical report that’s supported by third-party studies. Between this information and the wider field of published scientific research on peptides for skin, we feel confident recommending acetyl hexapeptide-37, particularly for dehydrated skin."
Acetyl Hexapeptide-8,Best,"Anti-Aging, Hydration","Anti-Aging, Hydration, Peptides, Humectant",Also known as agireline and acetyl hexpeptide-3 | Synthetically derived | Has water-binding abilities and skin-restoring properties | Is considered a neurotransmitter-inhibiting peptide,"Acetyl hexapeptide-8 is a synthetic peptide that is primarily used in skin care products. Formerly known by its original trade name Argireline and generically as acetyl hexapeptide-3, it has water-binding properties and skin-restoring abilities that play roles in helping skin look and feel younger. Acetyl hexapeptide-8 is a neurotransmitter-inhibiting peptide, meaning it works within skin’s surface layers to interrupt the look of expression lines; however, its efficacy in this regard doesn’t replace in-office wrinkle-smoothing injectable procedures. Interestingly, research from suppliers has shown this peptide also helps support skin’s collagen and preserve a firmer appearance. Studies have shown this peptide can penetrate further into skin and delivery greater efficacy for smoothing expression lines if specific formulary steps are followed, including accounting for the type of emulsion (a higher water content allows greater penetration). As always, this demonstrates the importance of selecting well-formulated skin care products to add to your routine. Acetyl hexapeptide-8 may also be referred to as acetyl hexapeptide-8 amide."
Acetyl sh-Hexapeptide-5 Amide Acetate,Best,Anti-Aging,"Anti-Aging, Peptides",Helps reinforce skin’s firmness and resilience | Topical use helps improves skin’s tautness | Considered gentle on skin | Synthetic peptide based on the binding and anchoring protein fibronectin,"Acetyl sh-hexapeptide-5 amide acetate is a synthetic peptide made to be bioidentical to the portion of the fibronectin molecule (a skin-binding and anchoring protein) that contains the amino acids arginine, aspartic acid, proline, and serine. It is also simply called hexapeptide-5. This peptide plays a role in reinforcing skin’s surface resilience, tautness and smoothness, leading to improved tensile strength and a more lifted, firmer appearance. Another benefit of this peptide is that it’s capable of binding water to skin’s surface, offering a hyaluronic acid-like effect on helping skin maintain balanced hydration. Acetyl sh-hexapeptide-5 amide acetate is supplied as a solution with a recommended usage level of 1–3% in skin care formulas. This translates to the peptide level being between 0.04–0.06%, which is why you may see this listed toward the end of a skin care product’s ingredient list. Although an independent safety assessment of this peptide hasn’t been done, validated testing from the supplier has shown it to be non-irritating and non-sensitizing."
