name,rating,benefits,categories,key_points,description
,Not Rated,,,,
Myristic Acid,Average,,"Cleansing Agent, Occlusive/Opacifying Agent",,Cleansing agent that also creates foam and can be drying.
N6-Furfuryladenine,Average,Anti-Aging,"Anti-Aging, Plant Extracts",,Technical name for kinetin.
N-Acetyl-L Tyrosine,Average,"Anti-Aging, Hydration","Anti-Aging, Hydration, Antioxidant, Humectant",,"A form of the amino acid L-tyrosine, it functions as a skin-conditioning agent."
Nettle Extract,Average,Soothing,"Soothing, Plant Extracts",,Extract that may have soothing properties.
Nigella Sativa Seed Oil,Average,,"Antioxidant, Emollient",Also known as black cumin seed oil and black caraway seed oil | Contains bioactive ingredient thymoquinone | Antioxidant compounds help curb the effects of environmental stress | May contain skin irritating volatile fragrance compounds,Nigella sativa seed oil
Nymphaea Alba Root Extract,Average,Anti-Aging,"Anti-Aging, Antioxidant, Plant Extracts","Plant extract derived from the roots of Nymphaea alba, AKA water lily | Contains antioxidant compounds like rutin and quercetin | Helps mitigate pro-aging environmental damage | Also used in hair care applications",An antioxidant derived from the roots of water lilies (Nymphaea alba).
Ocimum Basilicum flower extract,Average,Anti-Aging,"Anti-Aging, Plant Extracts, Antioxidant","Plant-extract taken from the flower of Ocimum basilicum, AKA sweet basil | Rich in antioxidants such as flavonoids and phenolic compounds | Helps renew skin's protection from daily aggressors that lead to  signs of aging | Is often combined with Ocimum basilicum leaf extract",Plant extract sourced from the flower of the sweet basil plant that has  potential antioxidant properties.
Ocimum Basilicum leaf extract,Average,Anti-Aging,"Anti-Aging, Plant Extracts, Antioxidant","Plant-extract derived from Ocimum basilicum, AKA sweet basil | Rich in antioxidants like rosmarinic acid, ferulic acid, and rutin | Helps protect skin from pro-aging environmental aggressors | Contains sin-sensitizing tannins","Plant extract that assists in neutralizing damage caused by environmental stressors, including pollution and UV rays. Contains skin-sensitizing tannins."
Oleth-3 Phosphate,Average,,"Cleansing Agent, Emulsifier, Suspending/Dispersing Agent","mproves formula texture, mixing oil and water ingredients | Assists in dispersing insoluble compounds in products | Exists as a liquid with a colorless-to-brown raw material | Might be skin-sensitizing","Cleansing, emulsifying and dispersing agent that helps to create uniform textures."
Oridonin,Average,Anti-Aging,"Anti-Aging, Antioxidant, Fragrance: Synthetic and Natural, Irritant, Plant Extracts",Herb-derived skin care ingredient | Shows potential for enhancing skin longevity | May be irritating (research shows mixed results) | More robust testing is needed to confirm safety and efficacy,Herb-derived ingredient with anti-aging benefits; presents potential risk of irritation due to fragrant compounds.
Padimate O,Average,Anti-Aging,"Anti-Aging, UV Filters",,Sunscreen agent that protects skin primarily from the sun's UVB rays.
Paeonia Albiflora Extract,Average,,"Plant Extracts, Fragrance: Synthetic and Natural",,Fragrant plant extract.
Paeonia Albiflora Flower Extract,Average,,"Plant Extracts, Fragrance: Synthetic and Natural",,Fragrant plant extract.
Paeonia Suffruticosa Extract,Average,,"Plant Extracts, Antioxidant, Fragrance: Synthetic and Natural",,"This plant extract, commonly known as peony, is a source of antioxidants, but also fragrance components that can cause skin sensitivity."
Panicum Miliaceum,Average,Hydration,"Hydration, Plant Extracts, Humectant",,"Extract from a cereal grain that has no established benefit for skin, but is added to cosmetic formularies as a skin-softening agent."
Panicum Millaceum (Millet) Seed Extract,Average,Hydration,"Hydration, Humectant",,"Extract from a cereal grain that has no established benefit for skin, but is added to cosmetic formularies as a skin-softening agent."
Pansy Extract,Average,Soothing,"Soothing, Plant Extracts, Antioxidant",,Extract for which there is a small amount of research showing it has skin soothing and antioxidant properties.
PEG-7 Trimethylolpropane Coconut Ether,Average,,"Cleansing Agent, Emulsifier",Type of polyethylene glycol compound derived from coconuts | Emulsifier and surfactant | Can be part of an ingredient blend called SEPIPLUS™ S,This coconut-derived ingredient works as an emulsifier and surfactant in cosmetics.
Perilla Ocymoides,Average,Soothing,"Soothing, Plant Extracts, Antioxidant",,"Also known as beefsteak plant. Like many plants, the leaves contain flavones which help the plant survive in natural sunlight."
Phenylethyl Resorcinol,Average,"Anti-Aging, Dark Spot Fading","Anti-Aging, Dark Spot Fading, Antioxidant",,Synthetic antioxidant often seen in skin-brightening products.
Phthalates,Average,,"Solvent, Fragrance: Synthetic and Natural",,Phthalates refers to a wide range of substances that are very different from one another.
Pistacia Lentiscus (Mastic) Gum,Average,Pore Minimizer,"Pore Minimizer, Antioxidant, Irritant, Plant Extracts",Resin of the mastic tree native to north Africa & the Mediterranean | Has been used in traditional Greek medicine for centuries | Has antioxidant and astringent properties | Contains volatile compounds that can irritate skin,"This tree resin has antioxidant and antimicrobial properties, but also has the potential to irritate skin."
Plantago Lanceolata Leaf Extract,Average,,"Antioxidant, Irritant, Plant Extracts",Plant extract from the plantain family | Offers beneficial antioxidants that help defend skin from environmental stressors | May potentially have a sensitizing effect on skin due its fragrance compounds and tannin content | Of greater concern when the essential oil form of this ingredient is used,Plant extract from the plantain family. Offers beneficial antioxidants but may potentially have a sensitizing effect on skin due its fragrance compounds and tannin content.
Plasticizing Agents,Average,,"Film-Forming Agent, Texture Enhancer",,Ingredients that place a thin layer of plastic over the skin.
Polyester-5,Average,,"Suspending/Dispersing Agent, Emulsifier","A film-forming agent used in skin care, hair care, and body care formulations | Helps hydrophobic ingredients disperse in aqueous solutions | A water-dispersible polymer that contains a sulfonate group | Assists in controlling the viscosity of formulas",Used as a film-former and emulsifying agent in skin care formulations.
Poncirus Trifoliata Fruit Extract,Average,Anti-Aging,"Anti-Aging, Antioxidant, Fragrance: Synthetic and Natural, Plant Extracts","Fruit extract that is a citrus relative, commonly known as “hardy orange” | Offers anti-aging and skin-soothing benefits thanks to its antioxidant content | Also contains fragrant compounds, although the risk for irritancy is minimized in extract form | Alternative names include Citrus trifoliata and Trifoliate Orange","Fruit extract rich in antioxidants, providing anti-aging and soothing benefits. Also contains fragrant compounds such as limonene, which may cause irritation, but the risk is minimized when the extract form is used."
Porphyridium Cruentum Extract,Average,Anti-Aging,"Anti-Aging, Plant Extracts, Antioxidant",,Extract derived from a type of red algae.
