name,rating,description
,Not Rated,
Hydrogenated Laneth-25,Not Rated,"Functions: Light Stabilizer, Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Laneth-5,Not Rated,"Functions: Bulking, Skin Conditioning, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Lanolin,Not Rated,"Functions: Antistatic, Hair Conditioning, Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Lanolin Alcohol,Not Rated,"Functions: Emulsion Stabilizer, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Lard,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Lard Glyceride,Not Rated,"Functions: Skin Conditioning, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Lard Glycerides,Not Rated,"Functions: Skin Conditioning, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Lime Seed Oil,Not Rated,"Functions: Emulsion Stabilizer, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Lime Seed Oil Unsaponifiables,Not Rated,"Functions: Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Lysolecithin,Not Rated,"Functions: Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Lysophosphatidylcholine,Not Rated,"Functions: Skin Conditioning, Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Macadamia Seed Oil,Not Rated,"Functions: Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Meadowfoam Seed Oil,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Menhaden Acid,Not Rated,"Functions: Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Menhaden Oil,Not Rated,"Functions: Skin Conditioning, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Methyl Abietate,Not Rated,Functions: Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Microcrystalline Cera,Not Rated,Functions: Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Microcrystalline Wax,Not Rated,"Functions: Binding, Emulsion Stabilizer, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Milk Lipids,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Mineral Oil,Not Rated,Functions: Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Mink Oil,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Moringa Glucoside,Not Rated,"Functions: Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Moringa Oleifera Seed Oil,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Nepeta Cataria Oil,Not Rated,Functions: Antimicrobial. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Oat Kernel Oil,Not Rated,"Functions: Hair Conditioning, Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Olive Oil Caprylyl Esters,Not Rated,"Functions: Emulsion Stabilizer, Film Forming, Hair Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Olive Oil Cetyl Esters,Not Rated,"Functions: Emulsion Stabilizer, Film Forming, Hair Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Olive Oil Decyl Esters,Not Rated,"Functions: Emulsion Stabilizer, Film Forming, Hair Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Olive Oil Hexyl Esters,Not Rated,"Functions: Emulsion Stabilizer, Film Forming, Hair Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Olive Oil Lauryl Esters,Not Rated,"Functions: Emulsion Stabilizer, Film Forming, Hair Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Olive Oil Myristyl Esters,Not Rated,"Functions: Emulsion Stabilizer, Film Forming, Hair Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Olive Oil Stearyl Esters,Not Rated,"Functions: Emulsion Stabilizer, Hair Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Orange Roughy Oil,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Orange Seed Oil,Not Rated,"Functions: Emulsion Stabilizer, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Orange Seed Oil Unsaponifiables,Not Rated,"Functions: Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Ostrich Oil,Not Rated,"Functions: Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Palm/Palm Kernel Glycerides,Not Rated,"Functions: Skin Conditioning, Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Palm/Palm Kernel Oil PEG-6 Esters,Not Rated,"Functions: Light Stabilizer, Skin Conditioning, Emollient, Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Palm Acid,Not Rated,Functions: Opacifying. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Palm Glyceride,Not Rated,"Functions: Light Stabilizer, Skin Conditioning, Emollient, Cleansing Agent, Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Palm Kernel Amine Oxide,Not Rated,"Functions: Cleansing Agent, Surfactant - Foam Boosting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Palm Kernel Glycerides,Not Rated,"Functions: Skin Conditioning, Emollient, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Palm Kernel Oil,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Palm Oil,Not Rated,"Functions: Skin Conditioning, Emollient, Emulsifier, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Palmtrimonium Chloride,Not Rated,"Functions: Antistatic, Hair Conditioning, Preservative. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Panax Ginseng Root Oil,Not Rated,"Functions: Antioxidant, Emulsion Stabilizer, Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Passiflora Edulis Seed Oil,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Peach Kernel Oil,Not Rated,Functions: Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Peanut Oil,Not Rated,"Functions: Skin Conditioning, Emollient, Emulsifier, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Pinus Pinaster Seed Oil,Not Rated,"Functions: Hair Conditioning, Skin Conditioning, Emollient, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Pistachio Seed Oil,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Pistacia Vera Seed Oil,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Plukenetia Volubilis Seed Oil,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Poly(C6-12 Olefin),Not Rated,"Functions: Skin Conditioning, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Poly(C6-14 Olefin),Not Rated,"Functions: Skin Conditioning, Emollient, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Poly(C6-20 Olefin),Not Rated,"Functions: Abrasive, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Polybutene,Not Rated,Functions: Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Polydicyclopentadiene,Not Rated,"Functions: Binding, Depilatory. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Polydodecene,Not Rated,"Functions: Binding, Hair Conditioning, Emollient, Solvent, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Polyisoprene Crosspolymer,Not Rated,Functions: Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Potato Starch,Not Rated,Functions: Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Prunus Domestica Seed Oil,Not Rated,We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Pumpkin Seed Oil,Not Rated,Functions: Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Punica Granatum Seed Oil,Not Rated,"Functions: Skin Protecting, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Rapeseed Alcohol,Not Rated,"Functions: Hair Conditioning, Skin Conditioning, Emollient, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Rapeseed Glycerides,Not Rated,Functions: Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Raspberry Seed Oil,Not Rated,Functions: Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Retinol,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Rhus Verniciflua Peel Cera,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Rhus Verniciflua Peel Wax,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Rice Bran Wax,Not Rated,"Functions: Binding, Skin Conditioning, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Rosa Canina Fruit Oil,Not Rated,Functions: Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Rosin,Not Rated,"Functions: Film Forming, Fragrance, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Safflower Seed Oil,Not Rated,"Functions: Skin Conditioning, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Sesame Seed Oil,Not Rated,"Functions: Binding, Emulsion Stabilizer, Hair Conditioning, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Shark Liver Oil,Not Rated,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Shea Butter,Not Rated,"Functions: Skin Conditioning, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Shea Oil,Not Rated,"Functions: Opacifying, Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Sodium Cyclic Lysophosphatidic Acid,Not Rated,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Hydrogenated Soy Glyceride,Not Rated,"Functions: Light Stabilizer, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Soy Glycerides,Not Rated,"Functions: Skin Conditioning, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Soy Polyglycerides,Not Rated,"Functions: Skin Conditioning, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Soy Polyglycerides/Soyamide Dea,Not Rated,"Functions: Emollient, Cleansing Agent, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Sphingolipids,Not Rated,"Functions: Hair Conditioning, Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Starch Extract,Not Rated,"Functions: Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Hydrogenated Styrene/Butadiene Copolymer,Not Rated,"Functions: Film Forming, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
